"","competitor number of customers","number of customers","competitor potential customers","potential customers","competitor innovation","innovation","competitor organic growth","organic growth","competitor flowers replacability","flowers replacability","competitor returns to scale","returns to scale","competitor capital investment","capital investment","competitor days to plant maturity","days to plant maturity","competitor floriculturist innovation","floriculturist innovation","fitness","competitor advantage in customers","competitor advantage in potential customers","competitor advantage in innovation","competitor advantage in organic growth","competitor advantage in flowers replacability","competitor advantage in returns to scale","competitor advantage in capital investment","competitor advantage in days to plant maturity","competitor advantage in floriculturist innovation"
"4545","3-Medium","2-Low","3-Medium","3-Medium","4-High","1-Very Low","2-Low","1-Very Low","3-Medium","3-Medium","4-High","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","1-Very Low","2-Low","4-High","3-Medium","3-Medium","4-High","3-Medium","3-Medium","4-High","3-Medium","3-Medium","3-Medium"
"4546","2-Low","2-Low","3-Medium","3-Medium","2-Low","2-Low","2-Low","1-Very Low","4-High","4-High","2-Low","3-Medium","2-Low","3-Medium","4-High","4-High","1-Very Low","1-Very Low","4-High","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","3-Medium"
"4547","3-Medium","4-High","3-Medium","2-Low","3-Medium","1-Very Low","3-Medium","1-Very Low","3-Medium","3-Medium","4-High","3-Medium","4-High","3-Medium","4-High","4-High","1-Very Low","3-Medium","2-Low","2-Low","3-Medium","4-High","4-High","3-Medium","4-High","4-High","3-Medium","2-Low"
"4548","3-Medium","2-Low","3-Medium","3-Medium","2-Low","1-Very Low","2-Low","3-Medium","3-Medium","3-Medium","5-Very High","4-High","2-Low","3-Medium","5-Very High","4-High","1-Very Low","1-Very Low","3-Medium","4-High","3-Medium","3-Medium","2-Low","3-Medium","4-High","2-Low","4-High","3-Medium"
"4549","3-Medium","2-Low","3-Medium","3-Medium","2-Low","1-Very Low","3-Medium","1-Very Low","4-High","4-High","3-Medium","3-Medium","4-High","3-Medium","5-Very High","4-High","2-Low","1-Very Low","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","4-High","4-High","4-High"
"4550","2-Low","3-Medium","3-Medium","3-Medium","2-Low","1-Very Low","2-Low","1-Very Low","4-High","4-High","2-Low","4-High","4-High","2-Low","4-High","3-Medium","1-Very Low","1-Very Low","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","5-Very High","4-High","3-Medium"
"4551","2-Low","3-Medium","4-High","3-Medium","2-Low","1-Very Low","2-Low","1-Very Low","4-High","2-Low","4-High","5-Very High","3-Medium","4-High","4-High","4-High","1-Very Low","1-Very Low","3-Medium","2-Low","4-High","3-Medium","3-Medium","4-High","2-Low","3-Medium","3-Medium","3-Medium"
"4552","1-Very Low","5-Very High","2-Low","2-Low","2-Low","1-Very Low","3-Medium","1-Very Low","3-Medium","4-High","4-High","4-High","2-Low","3-Medium","4-High","3-Medium","1-Very Low","2-Low","3-Medium","1-Very Low","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","2-Low","3-Medium","3-Medium"
"4553","3-Medium","4-High","3-Medium","3-Medium","2-Low","1-Very Low","3-Medium","4-High","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","4-High","4-High","4-High","1-Very Low","1-Very Low","4-High","2-Low","3-Medium","2-Low","2-Low","3-Medium","3-Medium","2-Low","3-Medium","3-Medium"
"4554","2-Low","4-High","2-Low","2-Low","2-Low","1-Very Low","2-Low","1-Very Low","3-Medium","5-Very High","2-Low","4-High","3-Medium","3-Medium","4-High","2-Low","1-Very Low","1-Very Low","4-High","2-Low","3-Medium","3-Medium","3-Medium","2-Low","2-Low","2-Low","5-Very High","3-Medium"
"4555","4-High","3-Medium","3-Medium","2-Low","3-Medium","1-Very Low","2-Low","1-Very Low","2-Low","3-Medium","3-Medium","4-High","2-Low","3-Medium","4-High","3-Medium","1-Very Low","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","2-Low","2-Low","4-High","2-Low"
"4556","2-Low","4-High","3-Medium","2-Low","2-Low","4-High","2-Low","3-Medium","4-High","3-Medium","4-High","2-Low","3-Medium","2-Low","3-Medium","3-Medium","1-Very Low","4-High","3-Medium","2-Low","4-High","2-Low","2-Low","3-Medium","4-High","3-Medium","3-Medium","2-Low"
"4557","3-Medium","2-Low","3-Medium","3-Medium","2-Low","2-Low","2-Low","1-Very Low","3-Medium","4-High","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","1-Very Low","4-High","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","4-High"
"4558","3-Medium","4-High","3-Medium","2-Low","2-Low","1-Very Low","2-Low","2-Low","2-Low","3-Medium","3-Medium","3-Medium","4-High","3-Medium","3-Medium","4-High","2-Low","1-Very Low","4-High","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","4-High"
"4559","3-Medium","2-Low","1-Very Low","2-Low","3-Medium","1-Very Low","1-Very Low","2-Low","3-Medium","5-Very High","3-Medium","3-Medium","4-High","3-Medium","5-Very High","2-Low","1-Very Low","2-Low","3-Medium","3-Medium","2-Low","3-Medium","2-Low","2-Low","3-Medium","3-Medium","5-Very High","3-Medium"
"4560","3-Medium","4-High","3-Medium","4-High","2-Low","1-Very Low","2-Low","2-Low","4-High","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","5-Very High","2-Low","1-Very Low","5-Very High","2-Low","3-Medium","3-Medium","3-Medium","4-High","4-High","3-Medium","2-Low","4-High"
"4561","4-High","3-Medium","4-High","3-Medium","2-Low","1-Very Low","3-Medium","1-Very Low","3-Medium","4-High","3-Medium","4-High","4-High","4-High","3-Medium","4-High","3-Medium","2-Low","1-Very Low","3-Medium","4-High","3-Medium","3-Medium","2-Low","2-Low","3-Medium","2-Low","3-Medium"
"4562","4-High","3-Medium","3-Medium","2-Low","3-Medium","1-Very Low","2-Low","4-High","4-High","4-High","4-High","4-High","4-High","3-Medium","4-High","3-Medium","2-Low","3-Medium","2-Low","3-Medium","3-Medium","4-High","2-Low","3-Medium","4-High","3-Medium","4-High","3-Medium"
"4563","4-High","4-High","2-Low","3-Medium","1-Very Low","1-Very Low","2-Low","2-Low","1-Very Low","3-Medium","2-Low","3-Medium","3-Medium","2-Low","4-High","3-Medium","1-Very Low","1-Very Low","4-High","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","4-High","3-Medium"
"4564","3-Medium","3-Medium","1-Very Low","3-Medium","1-Very Low","1-Very Low","2-Low","1-Very Low","3-Medium","2-Low","3-Medium","4-High","3-Medium","4-High","4-High","5-Very High","2-Low","4-High","3-Medium","3-Medium","2-Low","2-Low","3-Medium","3-Medium","2-Low","2-Low","3-Medium","2-Low"
"4565","3-Medium","2-Low","2-Low","2-Low","3-Medium","1-Very Low","4-High","1-Very Low","3-Medium","5-Very High","3-Medium","4-High","1-Very Low","3-Medium","5-Very High","3-Medium","2-Low","2-Low","3-Medium","3-Medium","3-Medium","4-High","5-Very High","2-Low","3-Medium","1-Very Low","5-Very High","3-Medium"
"4566","3-Medium","3-Medium","3-Medium","4-High","2-Low","2-Low","1-Very Low","1-Very Low","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","5-Very High","4-High","1-Very Low","1-Very Low","5-Very High","3-Medium","2-Low","2-Low","2-Low","3-Medium","3-Medium","3-Medium","4-High","3-Medium"
"4567","2-Low","5-Very High","2-Low","4-High","2-Low","1-Very Low","4-High","1-Very Low","4-High","4-High","2-Low","4-High","2-Low","4-High","4-High","3-Medium","1-Very Low","1-Very Low","5-Very High","1-Very Low","2-Low","3-Medium","5-Very High","3-Medium","2-Low","2-Low","4-High","3-Medium"
"4568","2-Low","2-Low","4-High","4-High","2-Low","1-Very Low","2-Low","4-High","2-Low","3-Medium","2-Low","4-High","3-Medium","5-Very High","5-Very High","3-Medium","4-High","1-Very Low","1-Very Low","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","2-Low","2-Low","4-High","5-Very High"
"4569","4-High","3-Medium","2-Low","4-High","2-Low","1-Very Low","2-Low","1-Very Low","3-Medium","5-Very High","3-Medium","3-Medium","4-High","3-Medium","5-Very High","4-High","3-Medium","3-Medium","5-Very High","3-Medium","2-Low","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","4-High","3-Medium"
"4570","4-High","3-Medium","5-Very High","2-Low","3-Medium","1-Very Low","3-Medium","1-Very Low","5-Very High","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","4-High","4-High","1-Very Low","1-Very Low","1-Very Low","3-Medium","4-High","4-High","4-High","4-High","3-Medium","3-Medium","3-Medium","3-Medium"
"4571","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","1-Very Low","4-High","1-Very Low","4-High","3-Medium","4-High","3-Medium","3-Medium","4-High","3-Medium","4-High","1-Very Low","4-High","3-Medium","3-Medium","3-Medium","3-Medium","4-High","4-High","4-High","2-Low","3-Medium","1-Very Low"
"4572","2-Low","4-High","4-High","4-High","2-Low","1-Very Low","3-Medium","3-Medium","4-High","3-Medium","3-Medium","3-Medium","2-Low","2-Low","4-High","3-Medium","2-Low","1-Very Low","5-Very High","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","4-High","4-High"
"4573","3-Medium","3-Medium","2-Low","3-Medium","2-Low","1-Very Low","2-Low","1-Very Low","4-High","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","4-High","1-Very Low","1-Very Low","4-High","3-Medium","2-Low","3-Medium","3-Medium","4-High","3-Medium","3-Medium","3-Medium","3-Medium"
"4574","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","1-Very Low","2-Low","1-Very Low","3-Medium","3-Medium","4-High","3-Medium","2-Low","3-Medium","3-Medium","4-High","2-Low","2-Low","4-High","2-Low","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","2-Low","2-Low","3-Medium"
"4575","2-Low","3-Medium","2-Low","5-Very High","4-High","2-Low","3-Medium","1-Very Low","3-Medium","3-Medium","4-High","3-Medium","2-Low","3-Medium","4-High","3-Medium","1-Very Low","2-Low","4-High","2-Low","2-Low","4-High","4-High","3-Medium","4-High","2-Low","4-High","2-Low"
"4576","3-Medium","3-Medium","3-Medium","2-Low","2-Low","1-Very Low","3-Medium","2-Low","5-Very High","2-Low","2-Low","4-High","3-Medium","3-Medium","4-High","3-Medium","1-Very Low","1-Very Low","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","4-High","2-Low","3-Medium","4-High","3-Medium"
"4577","5-Very High","2-Low","3-Medium","3-Medium","3-Medium","2-Low","2-Low","1-Very Low","3-Medium","3-Medium","5-Very High","4-High","1-Very Low","4-High","3-Medium","3-Medium","2-Low","1-Very Low","2-Low","5-Very High","3-Medium","3-Medium","3-Medium","3-Medium","4-High","1-Very Low","3-Medium","3-Medium"
"4578","3-Medium","2-Low","1-Very Low","3-Medium","3-Medium","2-Low","2-Low","1-Very Low","3-Medium","3-Medium","4-High","4-High","4-High","3-Medium","2-Low","4-High","1-Very Low","2-Low","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","4-High","2-Low","3-Medium"
"4579","3-Medium","4-High","3-Medium","3-Medium","1-Very Low","2-Low","1-Very Low","1-Very Low","4-High","3-Medium","3-Medium","4-High","2-Low","4-High","3-Medium","3-Medium","3-Medium","1-Very Low","4-High","2-Low","3-Medium","2-Low","2-Low","3-Medium","3-Medium","2-Low","3-Medium","4-High"
"4580","5-Very High","3-Medium","4-High","2-Low","3-Medium","1-Very Low","2-Low","1-Very Low","3-Medium","3-Medium","3-Medium","4-High","4-High","3-Medium","3-Medium","4-High","1-Very Low","1-Very Low","3-Medium","4-High","4-High","4-High","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","4-High"
"4581","3-Medium","3-Medium","3-Medium","3-Medium","1-Very Low","1-Very Low","4-High","2-Low","5-Very High","4-High","2-Low","2-Low","4-High","2-Low","5-Very High","4-High","1-Very Low","4-High","4-High","3-Medium","3-Medium","2-Low","4-High","4-High","3-Medium","4-High","3-Medium","2-Low"
"4582","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","1-Very Low","2-Low","2-Low","4-High","4-High","3-Medium","4-High","3-Medium","3-Medium","3-Medium","3-Medium","1-Very Low","3-Medium","4-High","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","2-Low"
"4583","2-Low","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","2-Low","3-Medium","2-Low","3-Medium","3-Medium","4-High","4-High","3-Medium","2-Low","5-Very High","1-Very Low","2-Low","4-High","2-Low","3-Medium","2-Low","2-Low","2-Low","2-Low","4-High","1-Very Low","3-Medium"
"4584","3-Medium","2-Low","4-High","3-Medium","2-Low","1-Very Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","4-High","4-High","5-Very High","5-Very High","3-Medium","1-Very Low","1-Very Low","1-Very Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","5-Very High","3-Medium"
"4585","3-Medium","3-Medium","3-Medium","2-Low","2-Low","1-Very Low","3-Medium","3-Medium","4-High","4-High","1-Very Low","5-Very High","3-Medium","2-Low","4-High","3-Medium","1-Very Low","2-Low","3-Medium","3-Medium","4-High","3-Medium","3-Medium","3-Medium","1-Very Low","3-Medium","3-Medium","2-Low"
"4586","4-High","5-Very High","3-Medium","3-Medium","3-Medium","1-Very Low","3-Medium","2-Low","4-High","4-High","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","5-Very High","1-Very Low","1-Very Low","4-High","2-Low","3-Medium","4-High","4-High","3-Medium","3-Medium","3-Medium","1-Very Low","3-Medium"
"4587","2-Low","3-Medium","4-High","4-High","3-Medium","1-Very Low","1-Very Low","3-Medium","2-Low","2-Low","3-Medium","3-Medium","4-High","3-Medium","4-High","4-High","1-Very Low","1-Very Low","5-Very High","2-Low","3-Medium","3-Medium","2-Low","3-Medium","4-High","3-Medium","3-Medium","3-Medium"
"4588","3-Medium","4-High","3-Medium","3-Medium","3-Medium","1-Very Low","2-Low","2-Low","3-Medium","3-Medium","4-High","1-Very Low","3-Medium","2-Low","3-Medium","3-Medium","1-Very Low","3-Medium","3-Medium","2-Low","3-Medium","4-High","3-Medium","3-Medium","5-Very High","3-Medium","3-Medium","2-Low"
"4589","3-Medium","4-High","3-Medium","3-Medium","3-Medium","1-Very Low","1-Very Low","1-Very Low","3-Medium","3-Medium","3-Medium","1-Very Low","2-Low","2-Low","5-Very High","5-Very High","1-Very Low","2-Low","4-High","2-Low","3-Medium","4-High","2-Low","3-Medium","4-High","3-Medium","3-Medium","2-Low"
"4590","2-Low","5-Very High","3-Medium","4-High","1-Very Low","2-Low","3-Medium","1-Very Low","3-Medium","5-Very High","5-Very High","4-High","1-Very Low","3-Medium","3-Medium","4-High","2-Low","1-Very Low","4-High","1-Very Low","2-Low","1-Very Low","4-High","2-Low","4-High","2-Low","3-Medium","3-Medium"
"4591","2-Low","3-Medium","2-Low","3-Medium","2-Low","1-Very Low","2-Low","1-Very Low","2-Low","4-High","4-High","3-Medium","3-Medium","2-Low","4-High","4-High","2-Low","1-Very Low","3-Medium","2-Low","2-Low","3-Medium","3-Medium","2-Low","4-High","4-High","3-Medium","3-Medium"
"4592","4-High","2-Low","3-Medium","4-High","3-Medium","4-High","3-Medium","2-Low","3-Medium","5-Very High","2-Low","3-Medium","4-High","4-High","5-Very High","3-Medium","1-Very Low","3-Medium","2-Low","4-High","3-Medium","3-Medium","3-Medium","2-Low","2-Low","3-Medium","4-High","2-Low"
"4593","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","1-Very Low","2-Low","1-Very Low","2-Low","4-High","4-High","3-Medium","4-High","2-Low","5-Very High","3-Medium","3-Medium","1-Very Low","2-Low","3-Medium","4-High","3-Medium","3-Medium","2-Low","3-Medium","4-High","4-High","4-High"
"4594","4-High","3-Medium","3-Medium","4-High","1-Very Low","1-Very Low","1-Very Low","1-Very Low","3-Medium","4-High","4-High","3-Medium","3-Medium","3-Medium","3-Medium","4-High","1-Very Low","2-Low","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","2-Low","3-Medium","3-Medium","2-Low","2-Low"
"4595","1-Very Low","3-Medium","3-Medium","2-Low","2-Low","1-Very Low","2-Low","1-Very Low","3-Medium","4-High","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","4-High","1-Very Low","2-Low","4-High","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","2-Low"
"4596","2-Low","3-Medium","4-High","3-Medium","4-High","1-Very Low","2-Low","1-Very Low","3-Medium","4-High","3-Medium","3-Medium","4-High","4-High","4-High","2-Low","3-Medium","1-Very Low","1-Very Low","2-Low","4-High","4-High","3-Medium","3-Medium","3-Medium","2-Low","5-Very High","4-High"
"4597","3-Medium","3-Medium","4-High","4-High","4-High","1-Very Low","3-Medium","1-Very Low","3-Medium","4-High","4-High","3-Medium","2-Low","4-High","5-Very High","3-Medium","1-Very Low","1-Very Low","5-Very High","3-Medium","3-Medium","5-Very High","4-High","3-Medium","4-High","2-Low","4-High","4-High"
"4598","4-High","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","1-Very Low","1-Very Low","4-High","5-Very High","2-Low","2-Low","3-Medium","4-High","5-Very High","3-Medium","2-Low","1-Very Low","2-Low","4-High","3-Medium","4-High","2-Low","3-Medium","3-Medium","2-Low","4-High","4-High"
"4599","4-High","2-Low","4-High","3-Medium","3-Medium","1-Very Low","3-Medium","2-Low","3-Medium","5-Very High","3-Medium","2-Low","3-Medium","4-High","2-Low","5-Very High","1-Very Low","2-Low","1-Very Low","4-High","3-Medium","4-High","3-Medium","2-Low","4-High","2-Low","1-Very Low","3-Medium"
"4600","2-Low","3-Medium","3-Medium","3-Medium","4-High","1-Very Low","4-High","2-Low","5-Very High","4-High","3-Medium","4-High","3-Medium","4-High","4-High","3-Medium","1-Very Low","1-Very Low","4-High","3-Medium","3-Medium","4-High","4-High","3-Medium","2-Low","2-Low","3-Medium","3-Medium"
"4601","3-Medium","3-Medium","3-Medium","2-Low","2-Low","1-Very Low","1-Very Low","1-Very Low","3-Medium","3-Medium","4-High","2-Low","3-Medium","3-Medium","2-Low","4-High","1-Very Low","1-Very Low","2-Low","3-Medium","4-High","3-Medium","2-Low","3-Medium","4-High","3-Medium","2-Low","3-Medium"
"4602","2-Low","3-Medium","3-Medium","2-Low","3-Medium","2-Low","2-Low","1-Very Low","2-Low","3-Medium","3-Medium","2-Low","4-High","3-Medium","3-Medium","3-Medium","1-Very Low","3-Medium","2-Low","3-Medium","4-High","3-Medium","3-Medium","3-Medium","4-High","3-Medium","3-Medium","2-Low"
"4603","3-Medium","4-High","2-Low","4-High","3-Medium","1-Very Low","5-Very High","2-Low","3-Medium","5-Very High","2-Low","5-Very High","4-High","2-Low","3-Medium","3-Medium","1-Very Low","4-High","5-Very High","2-Low","2-Low","3-Medium","5-Very High","2-Low","1-Very Low","4-High","4-High","1-Very Low"
"4604","2-Low","4-High","3-Medium","3-Medium","4-High","2-Low","1-Very Low","1-Very Low","3-Medium","4-High","3-Medium","3-Medium","4-High","4-High","4-High","4-High","1-Very Low","2-Low","4-High","1-Very Low","3-Medium","4-High","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium"
"4605","2-Low","3-Medium","2-Low","3-Medium","4-High","1-Very Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","2-Low","4-High","5-Very High","4-High","1-Very Low","1-Very Low","3-Medium","2-Low","2-Low","5-Very High","3-Medium","3-Medium","4-High","1-Very Low","4-High","3-Medium"
"4606","3-Medium","2-Low","3-Medium","2-Low","3-Medium","2-Low","2-Low","1-Very Low","4-High","4-High","4-High","3-Medium","2-Low","3-Medium","3-Medium","2-Low","2-Low","2-Low","2-Low","3-Medium","4-High","4-High","3-Medium","3-Medium","3-Medium","2-Low","4-High","3-Medium"
"4607","4-High","4-High","3-Medium","2-Low","1-Very Low","2-Low","3-Medium","1-Very Low","3-Medium","4-High","4-High","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","1-Very Low","1-Very Low","2-Low","3-Medium","4-High","2-Low","4-High","2-Low","4-High","3-Medium","3-Medium","3-Medium"
"4608","3-Medium","3-Medium","4-High","4-High","3-Medium","1-Very Low","3-Medium","1-Very Low","2-Low","3-Medium","4-High","4-High","2-Low","3-Medium","5-Very High","3-Medium","1-Very Low","2-Low","5-Very High","3-Medium","3-Medium","4-High","4-High","3-Medium","3-Medium","2-Low","4-High","3-Medium"
"4609","5-Very High","3-Medium","3-Medium","4-High","4-High","1-Very Low","3-Medium","2-Low","4-High","3-Medium","3-Medium","2-Low","3-Medium","2-Low","4-High","4-High","2-Low","1-Very Low","5-Very High","4-High","2-Low","4-High","4-High","4-High","4-High","4-High","3-Medium","4-High"
"4610","4-High","3-Medium","3-Medium","4-High","3-Medium","1-Very Low","2-Low","1-Very Low","3-Medium","3-Medium","4-High","3-Medium","3-Medium","4-High","4-High","3-Medium","1-Very Low","1-Very Low","5-Very High","3-Medium","2-Low","4-High","3-Medium","3-Medium","4-High","2-Low","4-High","3-Medium"
"4611","2-Low","3-Medium","3-Medium","3-Medium","2-Low","1-Very Low","2-Low","1-Very Low","2-Low","4-High","4-High","3-Medium","3-Medium","3-Medium","4-High","3-Medium","2-Low","2-Low","4-High","2-Low","3-Medium","3-Medium","3-Medium","2-Low","4-High","3-Medium","4-High","3-Medium"
"4612","3-Medium","3-Medium","3-Medium","2-Low","1-Very Low","2-Low","1-Very Low","1-Very Low","3-Medium","4-High","2-Low","2-Low","3-Medium","4-High","3-Medium","4-High","1-Very Low","1-Very Low","2-Low","3-Medium","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","3-Medium"
"4613","3-Medium","3-Medium","3-Medium","3-Medium","4-High","2-Low","2-Low","1-Very Low","5-Very High","4-High","2-Low","4-High","2-Low","4-High","3-Medium","4-High","2-Low","1-Very Low","2-Low","3-Medium","3-Medium","4-High","3-Medium","3-Medium","2-Low","1-Very Low","2-Low","3-Medium"
"4614","4-High","5-Very High","2-Low","3-Medium","3-Medium","2-Low","2-Low","1-Very Low","4-High","3-Medium","1-Very Low","3-Medium","3-Medium","3-Medium","4-High","4-High","1-Very Low","1-Very Low","4-High","2-Low","2-Low","3-Medium","3-Medium","4-High","2-Low","3-Medium","3-Medium","3-Medium"
"4615","2-Low","4-High","4-High","3-Medium","1-Very Low","1-Very Low","2-Low","2-Low","3-Medium","3-Medium","3-Medium","4-High","2-Low","4-High","3-Medium","4-High","2-Low","1-Very Low","1-Very Low","2-Low","3-Medium","2-Low","3-Medium","3-Medium","2-Low","1-Very Low","2-Low","4-High"
"4616","3-Medium","4-High","2-Low","3-Medium","2-Low","1-Very Low","2-Low","1-Very Low","3-Medium","4-High","3-Medium","3-Medium","2-Low","2-Low","3-Medium","5-Very High","2-Low","2-Low","4-High","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","2-Low","3-Medium"
"4617","2-Low","3-Medium","3-Medium","3-Medium","5-Very High","1-Very Low","1-Very Low","1-Very Low","4-High","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","5-Very High","4-High","3-Medium","3-Medium","4-High","2-Low","3-Medium","5-Very High","3-Medium","4-High","2-Low","3-Medium","4-High","3-Medium"
"4618","3-Medium","4-High","4-High","4-High","3-Medium","1-Very Low","1-Very Low","1-Very Low","3-Medium","3-Medium","3-Medium","5-Very High","4-High","3-Medium","3-Medium","3-Medium","1-Very Low","1-Very Low","5-Very High","2-Low","3-Medium","4-High","2-Low","3-Medium","2-Low","4-High","3-Medium","4-High"
"4619","3-Medium","4-High","3-Medium","3-Medium","3-Medium","1-Very Low","3-Medium","4-High","4-High","3-Medium","3-Medium","3-Medium","2-Low","3-Medium","5-Very High","4-High","3-Medium","1-Very Low","4-High","2-Low","3-Medium","4-High","3-Medium","4-High","3-Medium","3-Medium","4-High","4-High"
"4620","3-Medium","3-Medium","2-Low","4-High","2-Low","2-Low","3-Medium","1-Very Low","5-Very High","2-Low","3-Medium","5-Very High","2-Low","3-Medium","3-Medium","3-Medium","2-Low","1-Very Low","5-Very High","3-Medium","2-Low","3-Medium","4-High","5-Very High","2-Low","2-Low","3-Medium","4-High"
"4621","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium","1-Very Low","2-Low","3-Medium","5-Very High","3-Medium","2-Low","1-Very Low","4-High","3-Medium","3-Medium","2-Low","1-Very Low","1-Very Low","2-Low","3-Medium","3-Medium","4-High","3-Medium","4-High","4-High","3-Medium","4-High","3-Medium"
"4622","3-Medium","3-Medium","3-Medium","4-High","4-High","2-Low","3-Medium","1-Very Low","4-High","4-High","2-Low","2-Low","4-High","2-Low","3-Medium","4-High","1-Very Low","4-High","5-Very High","3-Medium","2-Low","4-High","4-High","3-Medium","3-Medium","4-High","2-Low","1-Very Low"
"4623","2-Low","3-Medium","4-High","3-Medium","3-Medium","2-Low","1-Very Low","1-Very Low","3-Medium","3-Medium","1-Very Low","2-Low","5-Very High","3-Medium","2-Low","4-High","1-Very Low","3-Medium","4-High","2-Low","4-High","3-Medium","2-Low","4-High","2-Low","4-High","2-Low","2-Low"
"4624","3-Medium","3-Medium","4-High","4-High","2-Low","4-High","3-Medium","2-Low","4-High","4-High","3-Medium","2-Low","4-High","3-Medium","4-High","4-High","2-Low","2-Low","1-Very Low","3-Medium","3-Medium","2-Low","4-High","3-Medium","4-High","3-Medium","3-Medium","3-Medium"
"4625","4-High","3-Medium","4-High","3-Medium","3-Medium","3-Medium","1-Very Low","1-Very Low","3-Medium","4-High","4-High","2-Low","3-Medium","4-High","4-High","4-High","1-Very Low","1-Very Low","1-Very Low","3-Medium","4-High","3-Medium","2-Low","2-Low","4-High","2-Low","3-Medium","3-Medium"
"4626","3-Medium","2-Low","2-Low","3-Medium","2-Low","2-Low","4-High","1-Very Low","3-Medium","3-Medium","2-Low","3-Medium","4-High","4-High","4-High","3-Medium","2-Low","1-Very Low","4-High","3-Medium","2-Low","2-Low","4-High","3-Medium","3-Medium","3-Medium","4-High","3-Medium"
"4627","2-Low","4-High","3-Medium","3-Medium","3-Medium","1-Very Low","2-Low","2-Low","3-Medium","5-Very High","4-High","2-Low","4-High","3-Medium","3-Medium","4-High","3-Medium","2-Low","4-High","1-Very Low","3-Medium","4-High","2-Low","2-Low","5-Very High","3-Medium","2-Low","4-High"
"4628","3-Medium","2-Low","3-Medium","4-High","3-Medium","1-Very Low","2-Low","1-Very Low","4-High","3-Medium","4-High","1-Very Low","3-Medium","4-High","3-Medium","3-Medium","3-Medium","1-Very Low","5-Very High","4-High","2-Low","4-High","3-Medium","3-Medium","5-Very High","2-Low","3-Medium","4-High"
"4629","3-Medium","2-Low","2-Low","3-Medium","1-Very Low","1-Very Low","4-High","2-Low","4-High","3-Medium","4-High","3-Medium","2-Low","3-Medium","3-Medium","3-Medium","2-Low","2-Low","3-Medium","4-High","3-Medium","2-Low","4-High","4-High","4-High","2-Low","3-Medium","3-Medium"
"4630","4-High","3-Medium","3-Medium","2-Low","1-Very Low","1-Very Low","1-Very Low","2-Low","3-Medium","4-High","3-Medium","3-Medium","4-High","3-Medium","3-Medium","3-Medium","1-Very Low","1-Very Low","2-Low","4-High","3-Medium","2-Low","2-Low","3-Medium","3-Medium","3-Medium","3-Medium","3-Medium"
